LINC00115_1	1069thymus-Fetal.minus	577duraMater-Adult.minus	757medullaOblongata-Adult.minus	273PeripheralBloodMononuclearCells.minus	213MastCell.minus	33CD14-bCD16-Monocytes.minus	85CD8-bTCells.minus	23BLymphoblastoidCellLine-aGM12878ENCODE.minus	1067thymus-Adult.minus	505cerebellum-Adult.minus	907parietalLobe-Adult.minus	323SmallAirwayEpithelialCells.minus	149Fibroblast-SkinSpinalMuscularAtrophy.minus	77CD4-bCD25-bCD45RA-MemoryRegulatoryTCellsExpanded.minus	249NaturalKillerCells.minus	373WholeBloodRibopure.minus	59CD14-bMonocytes.minus	699kidney-Fetal.minus	83CD4-bTCells.minus	537chronicMyelogenousLeukemiaCellLine-aK562ENCODE.minus
FAM41C_1	735lung-Fetal.minus	923placenta-Adult.minus	305SABiosciencesXpressRefHumanUniversalTotalRNA.minus	987skin-Fetal.minus	367UniversalRNA-HumanNormalTissuesBiochain.minus	521choriocarcinomaCellLine-aBeWo.minus	373WholeBloodRibopure.minus	679hepatoblastomaCellLine-aHuH-6.minus	733lung-Adult.minus	1065throat.minus	53CD14-bMonocytes-TreatedWithLipopolysaccharide.minus	55CD14-bMonocytes-TreatedWithSalmonella.minus	57CD14-bMonocytes-TreatedWithTrehaloseDimycolateTDM.minus	69CD4-bCD25-CD45RA-MemoryConventionalTCellsExpanded.minus	95ClontechHumanUniversalReferenceTotalRNA.minus	123Fibroblast-AorticAdventitial.minus	155FingernailIncludingNailPlate-cEponychiumAndHyponychium.minus	187Keratinocyte-Epidermal.minus	209MastCell-cExpanded.minus	277Preadipocyte-Breast.minus
LINC01342_1	62CD19-bBCells.plus	214MastCell.plus	216Melanocyte-Dark.plus	374WholeBloodRibopure.plus	1040temporalLobe-Adult.plus	700kidney-Fetal.plus	160H9EmbryoidBodyCells-cMelanocyticInduction-cDay00-cBiol.plus	326SmoothMuscleCells-Aortic.plus	1002smallCellLungCarcinomaCellLine-aWA-hT.plus	1004smallIntestine-Adult.plus	78CD4-bCD25-bCD45RA-MemoryRegulatoryTCellsExpanded.plus	274PeripheralBloodMononuclearCells.plus	758medullaOblongata-Adult.plus	822migratoryLangerhansCells.plus	48CD14-bMonocytes-TreatedWithCryptococcus.plus	244Myoblast.plus	324SmallAirwayEpithelialCells.plus	350SmoothMuscleCells-PulmonaryArtery.plus	772merkelCellCarcinomaCellLine-aMS-1.plus	42CD14-bMonocytes-TreatedWithB-glucan.plus
LINC01770_1	373WholeBloodRibopure.minus	653globusPallidus-Adult.minus	671heart-MitralValve.minus	731locusCoeruleus-Adult.minus	83CD4-bTCells.minus	965seminalVesicle.minus	681hepatocellularCarcinomaCellLine-aHepG2ENCODE.minus	285Preadipocyte-Visceral.minus	257NucleusPulposusCell.minus	823mixedMullerianTumorCellLine-aHTMMT.minus	573ductusDeferens.minus	269Pericytes.minus	347SmoothMuscleCells-Prostate.minus	127Fibroblast-ChoroidPlexus.minus	755medialTemporalGyrus-Adult.minus	757medullaOblongata-Adult.minus	473bladder-Adult.minus	1085trachea-Adult.minus	123Fibroblast-AorticAdventitial.minus	221MeningealCells.minus
TNFRSF14-AS1_2	669heart-Fetal.minus	735lung-Fetal.minus	95ClontechHumanUniversalReferenceTotalRNA.minus	1019spleen-Fetal.minus	757medullaOblongata-Adult.minus	733lung-Adult.minus	693insula-Adult.minus	23BLymphoblastoidCellLine-aGM12878ENCODE.minus	673heart-PulmonicValve.minus	699kidney-Fetal.minus	755medialTemporalGyrus-Adult.minus	907parietalLobe-Adult.minus	923placenta-Adult.minus	305SABiosciencesXpressRefHumanUniversalTotalRNA.minus	625frontalLobe-Adult.minus	753medialFrontalGyrus-Adult.minus	697kidney-Adult.minus	865nucleusAccumbens-Adult.minus	949retina-Adult.minus	1039temporalLobe-Adult.minus
TNFRSF14-AS1_1	213MastCell.minus	1003smallIntestine-Adult.minus	209MastCell-cExpanded.minus	77CD4-bCD25-bCD45RA-MemoryRegulatoryTCellsExpanded.minus	545colon-Adult.minus	23BLymphoblastoidCellLine-aGM12878ENCODE.minus	73CD4-bCD25-CD45RA-bNaiveConventionalTCellsExpanded.minus	211MastCell-cExpandedAndStimulated.minus	373WholeBloodRibopure.minus	1029squamousCellLungCarcinomaCellLine-aEBC-1.minus	1005smallIntestine-Fetal.minus	249NaturalKillerCells.minus	977signetRingCarcinomaCellLine-aNUGC-4.minus	463bCellLine-aRPMI1788.minus	975signetRingCarcinomaCellLine-aKatoIII.minus	85CD8-bTCells.minus	1019spleen-Fetal.minus	201Macrophage-MonocyteDerived.minus	1083tonsil-Adult.minus	1069thymus-Fetal.minus
PRDM16-DT_2	339SmoothMuscleCells-CoronaryArtery.minus	149Fibroblast-SkinSpinalMuscularAtrophy.minus	243Myoblast.minus	579embryonicKidneyCellLine-aHEK293.minus	343SmoothMuscleCells-InternalThoracicArtery.minus	975signetRingCarcinomaCellLine-aKatoIII.minus	133Fibroblast-Gingival.minus	147Fibroblast-SkinNormal.minus	159H9EmbryoidBodyCells-cMelanocyticInduction-cDay00-cBiol.minus	293RenalCorticalEpithelialCells.minus	323SmallAirwayEpithelialCells.minus	757medullaOblongata-Adult.minus	291ProstateStromalCells.minus	371UrothelialCells.minus	29Burkitt-7sLymphomaCellLine.minus	195LensEpithelialCells.minus	295RenalEpithelialCells.minus	303RetinalPigmentEpithelialCells.minus	373WholeBloodRibopure.minus	699kidney-Fetal.minus
PRDM16-DT_3	279Preadipocyte-Omental.minus	149Fibroblast-SkinSpinalMuscularAtrophy.minus	159H9EmbryoidBodyCells-cMelanocyticInduction-cDay00-cBiol.minus	125Fibroblast-Cardiac.minus	133Fibroblast-Gingival.minus	315SkeletalMuscleCells.minus	343SmoothMuscleCells-InternalThoracicArtery.minus	3Adipocyte-Omental.minus	21Astrocyte-CerebralCortex.minus	123Fibroblast-AorticAdventitial.minus	287ProstateEpithelialCells.minus	295RenalEpithelialCells.minus	575duodenum.minus	641giantCellCarcinomaCellLine-aLU65.minus	931postcentralGyrus-Adult.minus	23BLymphoblastoidCellLine-aGM12878ENCODE.minus	59CD14-bMonocytes.minus	127Fibroblast-ChoroidPlexus.minus	147Fibroblast-SkinNormal.minus	241MultipotentCordBloodUnrestrictedSomaticStemCells.minus
PRDM16-DT_1	1059testis-Adult.minus	95ClontechHumanUniversalReferenceTotalRNA.minus	949retina-Adult.minus	669heart-Fetal.minus	21Astrocyte-CerebralCortex.minus	699kidney-Fetal.minus	907parietalLobe-Adult.minus	303RetinalPigmentEpithelialCells.minus	865nucleusAccumbens-Adult.minus	1071thyroid-Adult.minus	1039temporalLobe-Adult.minus	697kidney-Adult.minus	873occipitalPole-Adult.minus	453aorta-Adult.minus	503caudateNucleus-Adult.minus	693insula-Adult.minus	481brain-Adult.minus	687hippocampus-Adult.minus	905paracentralGyrus-Adult.minus	559corpusCallosum-Adult.minus
LINC01134_1	682hepatocellularCarcinomaCellLine-aHepG2ENCODE.plus	1060testis-Adult.plus	604epitheloidCarcinomaCellLine-aHelaS3ENCODE.plus	96ClontechHumanUniversalReferenceTotalRNA.plus	30Burkitt-7sLymphomaCellLine.plus	580embryonicKidneyCellLine-aHEK293.plus	1004smallIntestine-Adult.plus	642giantCellCarcinomaCellLine-aLU65.plus	202Macrophage-MonocyteDerived.plus	690iPSDifferentiationToNeuron.plus	24BLymphoblastoidCellLine-aGM12878ENCODE.plus	40CD14-bMonocytes-MockTreated.plus	308Saos-2OsteosarcomaTreatedWithAscorbicAcidAndBGPToInduceCalcification-c00hr00min-cBiol.plus	48CD14-bMonocytes-TreatedWithCryptococcus.plus	58CD14-bMonocytes-TreatedWithTrehaloseDimycolateTDM.plus	34CD14-bCD16-Monocytes.plus	174Hep-2CellsTreatedWithStreptococciStrainJRS4-cBiol.plus	44CD14-bMonocytes-TreatedWithBCG.plus	212MastCell-cExpandedAndStimulated.plus	546colon-Adult.plus
